Opening Rank,Closing Rank,Academic Program Name,Institute,Seat Type,Quota,Gender
59054,59054,"Materials Science and Metallurgical Engineering (4 Years, Bachelor of Technology)",Maulana Azad National Institute of Technology Bhopal,OPEN,Home State,Gender-Neutral
71081,71081,"Materials Science and Metallurgical Engineering (4 Years, Bachelor of Technology)",Maulana Azad National Institute of Technology Bhopal,EWS,Home State,Gender-Neutral
71730,72124,"Materials Science and Metallurgical Engineering (4 Years, Bachelor of Technology)",Maulana Azad National Institute of Technology Bhopal,OBC-NCL,Home State,Gender-Neutral
514841,514841,"Materials Science and Metallurgical Engineering (4 Years, Bachelor of Technology)",Maulana Azad National Institute of Technology Bhopal,SC,Home State,Female-only (including Supernumerary)
52088,52088,"Materials Science and Metallurgical Engineering (4 Years, Bachelor of Technology)",Maulana Azad National Institute of Technology Bhopal,OPEN,Other State,Gender-Neutral
54160,55719,"Materials Science and Metallurgical Engineering (4 Years, Bachelor of Technology)",Maulana Azad National Institute of Technology Bhopal,EWS,Other State,Gender-Neutral
58565,59177,"Materials Science and Metallurgical Engineering (4 Years, Bachelor of Technology)",Maulana Azad National Institute of Technology Bhopal,OBC-NCL,Other State,Gender-Neutral
94395,94395,"Materials Science and Metallurgical Engineering (4 Years, Bachelor of Technology)",Maulana Azad National Institute of Technology Bhopal,OBC-NCL,Other State,Female-only (including Supernumerary)
18092,18092,"Mathematics and Data Science (5 Years, Bachelor and Master of Technology (Dual Degree))",Maulana Azad National Institute of Technology Bhopal,OPEN,Other State,Gender-Neutral
168504,168504,"Mathematics and Data Science (5 Years, Bachelor and Master of Technology (Dual Degree))",Maulana Azad National Institute of Technology Bhopal,SC,Other State,Female-only (including Supernumerary)
37527,37527,"Mechanical Engineering (4 Years, Bachelor of Technology)",Maulana Azad National Institute of Technology Bhopal,OPEN,Home State,Gender-Neutral
44541,44541,"Mechanical Engineering (4 Years, Bachelor of Technology)",Maulana Azad National Institute of Technology Bhopal,EWS,Home State,Gender-Neutral
47691,47691,"Mechanical Engineering (4 Years, Bachelor of Technology)",Maulana Azad National Institute of Technology Bhopal,OBC-NCL,Home State,Gender-Neutral
32565,33803,"Mechanical Engineering (4 Years, Bachelor of Technology)",Maulana Azad National Institute of Technology Bhopal,OPEN,Other State,Gender-Neutral
60270,62286,"Mechanical Engineering (4 Years, Bachelor of Technology)",Maulana Azad National Institute of Technology Bhopal,OPEN,Other State,Female-only (including Supernumerary)
41651,41651,"Mechanical Engineering (4 Years, Bachelor of Technology)",Maulana Azad National Institute of Technology Bhopal,EWS,Other State,Gender-Neutral
63272,63272,"Mechanical Engineering (4 Years, Bachelor of Technology)",Maulana Azad National Institute of Technology Bhopal,EWS,Other State,Female-only (including Supernumerary)
40007,41774,"Mechanical Engineering (4 Years, Bachelor of Technology)",Maulana Azad National Institute of Technology Bhopal,OBC-NCL,Other State,Gender-Neutral
76130,78723,"Mechanical Engineering (4 Years, Bachelor of Technology)",Maulana Azad National Institute of Technology Bhopal,OBC-NCL,Other State,Female-only (including Supernumerary)
7516,7516,"Planning (4 Years, Bachelor of Planning)",Maulana Azad National Institute of Technology Bhopal,SC,All India,Female-only (including Supernumerary)
1324,1393,"Planning (4 Years, Bachelor of Planning)",Maulana Azad National Institute of Technology Bhopal,OPEN,Other State,Gender-Neutral
6433,6865,"Planning (4 Years, Bachelor of Planning)",Maulana Azad National Institute of Technology Bhopal,OBC-NCL,Other State,Gender-Neutral
4815,4815,"Planning (4 Years, Bachelor of Planning)",Maulana Azad National Institute of Technology Bhopal,OBC-NCL,Other State,Female-only (including Supernumerary)
8095,8095,"Planning (4 Years, Bachelor of Planning)",Maulana Azad National Institute of Technology Bhopal,SC,Other State,Female-only (including Supernumerary)
22882,22882,"Planning (4 Years, Bachelor of Planning)",Maulana Azad National Institute of Technology Bhopal,ST,Other State,Gender-Neutral
52512,52512,"Bio Technology (4 Years, Bachelor of Technology)",Motilal Nehru National Institute of Technology Allahabad,EWS,Home State,Gender-Neutral
48979,48979,"Bio Technology (4 Years, Bachelor of Technology)",Motilal Nehru National Institute of Technology Allahabad,OPEN,Other State,Gender-Neutral
55179,55179,"Bio Technology (4 Years, Bachelor of Technology)",Motilal Nehru National Institute of Technology Allahabad,EWS,Other State,Gender-Neutral
